Currently open headings: H1:بخش اول : بخشنامه های مطالعات و مقررات بانکی > H2:بخشنامه شماره21270 / 91 مورخ31 / 01 / 1391 ; ابلاغ " دستورالعمل نحوه تشخیص و حذف مطالبات غیرقابل وصول از دفاتر مؤسسه اعتباری و افشای آن در صورت های مالی و " اصلاح " دستورالعمل نحوه محاسبه ذخیره مطالبات موسسات اعتباری " ، موضوع بخشنامه شماره مب /2823 مورخ05 / 12 / 1385

Current chunk:
[CONTEXT - already covered by the previous chunk, do NOT emit an operation for this] TEXT [font_size=12, bold]: گذشته، حال و آینده، تائید یا تصحیح ارزیابی های گذشته آنها مؤثر واقع شـود . از ایـن رو،

[CONTEXT - already covered by the previous chunk, do NOT emit an operation for this] TEXT [font_size=12]: 9

TEXT [font_size=12]: بخشنامه های مدیریت کل مقررات، مجوزهای بانکی و مبارزه با پولشویی سال 1391

TEXT [font_size=12, bold]: مربوط ترین و با اهمیت ترین اطلاعات باید همواره د ر متن صورت های مـالی افشـاء گـردد،

TEXT [font_size=12, bold]: مشروط بر این که چنین ارایه ای مقدور باشد و آن گروه از اطلاعات که درجه مربـوط بـودن

TEXT [font_size=12, bold]: آنها قدری پایین تر از سایر اطلاعات است باید در یادداشت های همراه صورت های مالی که

TEXT [font_size=12, bold]: جزء لاینفک صورت های مذکور هستند افشاء شوند . اجرای هر چه صحیح تر و دقیق تر ایـن

TEXT [font_size=12, bold]: اصل باعث ارتقای شفافیت صورت های مالی می شود که به نوبه خـود ریسـک اطلاعـات را

TEXT [font_size=12, bold]: کاهش می دهد .

TEXT [font_size=12, bold]: در صنعت بانکـداری، ماهیـت عملیـات و بـه تبـع آن تنـوع اسـتفاده کننـدگان از

TEXT [font_size=12, bold]: صورت های مالی به گونه ای است که اهمیت رعایت این اصـل بـه مراتـب بیشـتر از سـایر

TEXT [font_size=12, bold]: فعالیت ه ای اقتصادی می باشد . حال با عنایت به این که در مؤسسات اعتباری درصد بااهمیتی

TEXT [font_size=12, bold]: از دارایی های مؤسسات اعتباری را مطالبات تشکیل می دهد . علی الاصول رعایت اصل افشاء

TEXT [font_size=12, bold]: در نحوه ارایه اطلاعات مربوط به مطالبات بسیار حایز اهمیت است . به دیگر سخن، ارتقـای

TEXT [font_size=12, bold]: شفافیت هر چه بیشتر صورت های مالی مؤسسات اعتباری در گرو اجرای صحیح و دقیق این

TEXT [font_size=12, bold]: اصل می باشد .
