Currently open headings: H1:بخش اول : بخشنامه های مطالعات و مقررات بانکی > H2:دستورالعمل حسابداری کارت اعتباری میزان برای کارکنان دولت و کارگران > H3:بخشنامه شماره59912 / 91 مورخ08 / 03 / 1391 ; ابلاغ دستورالعمل حساب جاری > H6:10 ( ملاک عمل قراردادن آدرس و کدپستی دارندگ ان و یا متقاضیان افتتـاح حسـاب

Current chunk:
[CONTEXT - already covered by the previous chunk, do NOT emit an operation for this] TEXT [font_size=12, bold]: می تواند با ارائه نامه رسمی رضایت خود را اعلام نموده و بانک با دریافت

[CONTEXT - already covered by the previous chunk, do NOT emit an operation for this] TEXT [font_size=12]: 62

TEXT [font_size=12]: بخشنامه های مدیریت کل مقررات، مجوزهای بانکی و مبارزه با پولشویی سال 1391

TEXT [font_size=12, bold]: رضایت نامه مزبور، نسبت به رفع سوء اثر از چک موردنظر و ابطال آن

TEXT [font_size=12, bold]: اقدام می نماید .

TEXT [font_size=10, bold]: 18 - 4 - واریز مبلغ چک به حساب جاری و مسدود نمودن به آن مدت 24 ماه : چنانچه ارائه

TEXT [font_size=12, bold]: لاشه چک و یا رضایت نامه محضری ذی نفع به بانک امکان پذیر نباشد،

TEXT [font_size=12, bold]: مشروط به آن که حساب جاری مشتری نزد شعبه مفتوح و توسط مراجع

TEXT [font_size=12, bold]: قضایی مسدود نشده باشد، مشتری می تواند با واریز معادل کسری موجودی

TEXT [font_size=12, bold]: به حساب جاری خود، درخواست مسدود شدن وجه مزبور را برای پرداخت

TEXT [font_size=12, bold]: چک برگشتی ذی ربط تا زمان تعیین تکلیف قطعی چک برگشتی و یا حداکثر

TEXT [font_size=12, bold]: به مدت 24 ماه، به بانک ارائه و سپس بانک نسبت به رفع سوءاثر از سابقه

TEXT [font_size=12, bold]: چک برگشتی اقدام می نماید . در این شرایط بانک موظف است ظرف پنج روز

TEXT [font_size=12, bold]: کاری، طی نامه ای تأمین وجه چک را به اطلاع شخصی که گواهی نامه عدم

TEXT [font_size=12, bold]: پرداخت به نام وی صادر شده است، برای مراجعه به بانک و دریافت وجه

TEXT [font_size=12, bold]: چک، برساند؛

TEXT [font_size=10, bold]: 18 - 5 - ارائه حکم قضایی مبنی بر رفع سوء اثر از سوابق چک برگشتی؛

TEXT [font_size=10, bold]: 18 - 6 - انقضای مدت نگهداری سوابق چک های برگشتی در سامانه اطلاعاتی بانک مرکزی :
